Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte
Zombie	necromancien		Creature	Zombie	1	1	1	Quand cette creature est mise dans la defausse depuis le jeu, remettez-la en jeu dans 2 tours.
Fauche-Vie	necromancien		Creature	Zombie	2	1	3	A chaque fois que cette creature attaque, invoquez un jeton 1/1 ayant le sous-type Zombie et defaussez la carte du dessus du deck adverse.
Rite Sacrificiel	necromancien		Sort		3			Reinvoque depuis le cimetiere une creature ayant le sous-type Zombie au choix.
Corbeau Charognard	necromancien		Creature	Zombie	4	4	1	Sacrifiez une creature alliee ayant le sous-type Zombie : donnez a la creature allie de votre choix la Celerite. (Peux attaquer des le tour ou cette carte est jouee)
Horde de Zombie	necromancien		Creature	Zombie	5	0	4	Provocation (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature) Cette creature ne peux recevoir que 3 points de degats a la fois. A chaque fois que cette creature recois des degats, invoquez un jeton 1/1 ayant le sous-type Zombie et defaussez la carte du dessus du deck adverse.
Chevaucheur de Cerberes	necromancien		Creature	Zombie	6	3	4	Quand une creature ayant le sous-type Zombie meurt, le joueur adverse defausse la carte du dessus de son deck.
Satan	necromancien		Creature		7	7	7	Si vous avez un artefact ayant le nom "Jugement Dernier" dans votre deck, piochez des cartes jusqu'a l'obtenir puis defaussez votre deck et mettez votre main dans votre deck. Melangez ensuite votre deck.
Zombie Changeforme	necromancien		Creature	Zombie	8	X	X	L'attaque et les PVs de cette creature sont egaux au nombre de creatures ayant le sous-type Zombie en jeu.
Immortel Cracheur de Feu	necromancien		Creature	Zombie	9	5	5	Tant que cette creature est en vie et a la fin du tour de votre adversaire, defausse la carte de sa main la plus a gauche et celle la plus a droite.
Jugement Dernier	necromancien		Artefact		10			Si a la fin de votre tour vous n'avez aucune carte dans votre deck, infligez X points de degats au joueur adverse, X etant le nombre de cartes dans votre defausse.
Vers l'au-dela	necromancien		Artefact		4			Au debut de chacun de vos tours, invoquez un jeton 1/1 ayant le sous-type Zombie. (Ce jeton n'est pas affecte par le mal d'invocation) Si vous avez cette carte dans votre defausse, vous pouvez la jouer depuis votre defausse pour son cout de mana.
Rite Satanique	necromancien		Sort		4			Si vous avez une creatrure ayant le nom "Satan" dans votre deck, sacrifiez 3 creatures alliees ayant le sous-type "Zombie" et allez chercher dans votre deck une creature ayant le nom "Satan", melangez ensuite votre deck.
Fossoyeur	necromancien		Creature	Zombie	4	1	1	Tant que cette creature est en jeu, vous pouvez jouer n'importe quelle creature ayant le sous-type Zombie qui est dans votre defausse comme si elle etait dans votre main.
Goule Ouvriere	necromancien		Creature	Zombie	2	0	1	A chaque fois que cette creature attaque le joueur adverse, defaussez les deux cartes du dessus du deck adverse.
Putrefaction	necromancien		Sort		2			Cherchez dans votre deck deux creatures au choix ayant le sous-type Zombie, montrez-les a votre adversaire et mettez-les dans votre main. Melangez ensuite votre deck.
Abomination	necromancien		Creature	Zombie	5	0	6	Tant que cette creature est en jeu, a chaque fois qu'un joueur recois un point de degat ou gagne un point de vie, le joueur de votre choix defausse la carte du dessus de son deck.
Envahissement de Zombies	necromancien		Sort		7			Inflige X points de degat a la cible, X etant le nombre de creatures ayant le sous-type Zombie en jeu.
Duplication morbide	necromancien		Sort		8			Invoquez X Jetons 1/1 ayant le sous-type Zombie, X etant le nombre de creatures ayant le sous-type Zombie en jeu. Tout les Jetons generes de cette maniere gagnent la Celerite. (Peux attaquer des le tour ou cette carte est jouee)
Recherche des taboos	necromancien		Sort		3			Bannissez deux cartes de votre cimetiere, piochez deux cartes.
Nourriture Contaminee	necromancien		Artefact		4			A chaque fois qu'une creature ayant le sous-type Zombie attaque une autre creature, si la creature ciblee n'avait pas le sous-type Zombie elle l'obtiens en plus de ses autres sous-types potentiels.
Voyage en Outre-Tombe	necromancien		Artefact		6			A chaque fois que vous jouez une creature ayant le sous-type Zombie, mettez en jeu depuis votre defausse la creature la moins chere de votre choix ayant le sous-type Zombie qui s'y trouve.
Degenerescence	necromancien		Sort		8			Le joueur ciblee defausse les X cartes du dessus de son deck, X etant le nombre de creatures avec le sous-type Zombie en jeu.
